"ID","section","math_score","reading_score","writing_score"
"849","B",94,89,86
"850","B",57,70,68
"851","B",89,83,80
"852","B",77,73,80
"853","B",57,60,50
"854","B",72,72,72
"855","B",98,94,95
"856","B",87,97,100
"857","B",61,57,55
"858","B",85,100,97
"859","B",81,85,91
"860","B",74,84,79
"861","B",98,92,90
"862","B",86,84,89
"863","B",85,81,82
"864","B",68,71,63
"865","B",66,78,77
"866","B",75,74,71
"867","B",79,57,58
"868","B",59,85,82
"869","B",60,62,58
"870","B",69,60,54
"871","B",49,54,58
"872","B",62,44,52
"873","B",70,84,83
"874","B",71,57,60
"875","B",71,69,65
"876","B",50,59,54
"877","B",52,55,57
"878","B",75,65,66
"879","B",51,64,63
"880","B",64,48,50
"881","B",65,76,72
"882","B",99,81,87
"883","B",60,62,58
"884","B",70,78,80
"885","B",77,76,77
"886","B",37,28,23
"887","B",73,73,61
"888","B",53,74,75
"889","B",67,58,62
"890","B",67,79,80
"891","B",51,57,50
"892","B",64,71,70
"893","B",55,42,43
"894","B",55,39,51
"895","B",86,77,78
"896","B",71,88,85
"897","B",71,63,64
"898","B",51,67,69
"899","B",75,76,85
"900","B",45,31,27
"901","B",59,54,48
"902","B",64,69,68
"903","B",78,69,73
"904","B",59,61,58
"905","B",80,70,71
"906","B",68,82,77
"907","B",77,81,79
"908","B",66,67,64
"909","B",26,44,46
"910","B",80,66,69
"911","B",48,62,61
"912","B",52,64,55
"913","B",54,64,64
"914","B",59,68,67
"915","B",77,62,65
"916","B",64,70,69
"917","B",83,72,68
"918","B",70,73,69
"919","B",72,68,67
"920","B",83,78,79
"921","B",52,58,57
"922","B",53,73,74
"923","B",55,55,55
"924","B",65,63,61
"925","B",60,67,64
"926","B",64,62,59
"927","B",71,72,69
"928","B",61,71,65
"929","B",61,55,58
"930","B",65,74,79
"931","B",71,83,89
"932","B",48,49,44
"933","B",75,80,75
"934","B",54,66,65
"935","B",70,64,65
"936","B",91,77,72
"937","B",33,44,50
"938","B",45,50,41
"939","B",45,33,32
"940","B",62,61,57
"941","B",92,79,77
"942","B",74,75,79
"943","B",81,79,83
"944","B",76,71,66
"945","B",57,72,73
"946","B",63,61,55
"947","B",57,62,73
"948","B",46,65,64
"949","B",49,50,45
"950","B",54,60,65
"951","B",89,87,90
"952","B",77,70,78
"953","B",46,63,60
"954","B",66,59,70
"955","B",48,63,53
"956","B",83,76,81
"957","B",69,75,74
"958","B",73,52,54
"959","B",43,59,59
"960","B",91,84,83
"961","B",49,58,55
"962","B",87,86,84
"963","B",46,46,44
"964","B",63,61,71
"965","B",100,83,86
"966","B",86,87,89
"967","B",55,73,70
"968","B",84,100,99
"969","B",39,51,48
"970","B",67,57,52
"971","B",85,100,97
"972","B",64,51,44
"973","B",81,77,74
"974","B",78,71,67
"975","B",59,59,58
"976","B",74,76,70
"977","B",31,29,35
"978","B",54,55,65
"979","B",51,51,45
"980","B",57,65,68
"981","B",39,50,49
"982","B",64,48,48
"983","B",69,79,72
"984","B",58,50,47
"985","B",63,71,75
"986","B",74,73,67
"987","B",78,84,77
"988","B",78,78,74
"989","B",75,76,81
"990","B",70,60,65
"991","B",67,55,53
"992","B",87,93,88
"993","B",69,63,66
"994","B",58,54,58
"995","B",86,82,75
"996","B",73,70,65
"997","B",85,91,92
"998","B",32,35,41
"999","B",73,74,82
"1000","B",65,60,62
